Zip Code,Numerator,OCTD Rate in Zip Code
40033,11,0.459098497
36507,11,0.377358491
75460,11,0.208649469
36426,11,0.299075585
47102,11,0.715679896
35674,11,0.225363655
77995,11,0.529865125
78201,11,0.235243798
65775,11,0.187106651
36067,11,0.296575896
31419,11,0.191771269
77019,11,0.457761132
27801,11,0.256231074
82716,11,0.500227376
20653,11,0.379310345
84405,11,0.291467939
35816,11,0.606394708
28560,11,0.152608213
48801,11,0.48415493
76374,11,1.015697138
18801,11,0.582010582
77591,11,0.520833333
79936,11,0.142339545
75041,11,0.370994941
77384,11,0.420972063
77535,11,0.321825629
75948,11,0.499772831
78570,11,0.339087546
10458,11,0.29546065
31719,11,0.860046912
21613,11,0.218297281
77354,11,0.309249367
32091,11,0.351550016
71671,11,0.504818724
77521,11,0.223941368
78639,11,0.497512438
19124,11,0.196815173
77035,11,0.353697749
77055,11,0.341191067
31410,11,0.293020778
16648,11,0.407256572
95835,11,0.438421682
76010,11,0.390070922
78040,11,0.177219269
29301,11,0.251428571
36854,11,0.317919075
16652,11,0.393278513
20602,11,0.37709976
36693,11,0.316182811
79602,11,0.343213729
35570,11,0.380359613
2129,11,0.491949911
17057,11,0.392857143
31216,11,0.393559928
71801,11,0.393841747
28768,11,0.617283951
72801,11,0.406353897
28513,11,0.469884665
15235,11,0.280755487
48015,11,0.631095812
98373,11,0.371245359
42276,11,0.342039801
16635,11,0.675675676
72315,11,0.270137525
28083,11,0.316001149
98383,11,0.284164299
78745,11,0.17563468
67301,11,0.340241262
42066,11,0.22816843
78753,11,0.319674513
48504,11,0.224994886
42167,11,0.572022881
78253,11,0.252120101
17931,11,0.951557093
17225,11,0.348652932
33711,11,0.431880644
36862,11,0.690954774
41056,11,0.379703141
20707,11,0.249546279
98312,11,0.222132472
91767,11,0.397542465
70363,11,0.247246572
32640,11,0.449162924
31520,11,0.321543408
36421,11,0.485222761
82834,11,0.509259259
98321,11,0.490414623
20170,11,0.334651658
20740,11,0.424874469
97322,11,0.275275275
31548,11,0.406353897
27501,11,0.390347764
75801,11,0.372754998
8638,11,0.284826515
80021,11,0.535540409
78240,11,0.200949945
77568,11,0.388967468
30312,11,0.723684211
76424,11,0.594273366
20878,11,0.153331475
30310,11,0.357723577
17315,11,0.272412085
33313,11,0.314645309
33612,11,0.237735033
29678,11,0.270336692
71241,11,0.509731233
10705,11,0.268489138
32205,11,0.290851401
30655,11,0.290160907
35504,11,0.423402617
77619,11,0.428849903
72031,11,0.554435484
8861,11,0.185716698
29406,11,0.273020601
15108,11,0.293489861
77058,11,0.572022881
15701,11,0.341614907
38506,11,0.18487395
33712,11,0.375426621
82935,11,0.503202196
15501,11,0.500454959
8215,11,0.372124493
77346,11,0.237735033
98119,11,0.570539419
89110,11,0.195659908
77401,11,0.523809524
49091,11,0.299645873
40204,11,0.581395349
27574,11,0.426356589
82070,11,0.425696594
38846,11,1.681957187
38106,11,0.295302013
64138,11,0.317185698
6112,11,0.523311132
31793,11,0.656324582
26041,11,0.360419397
45420,11,0.347112654
91733,11,0.448247759
15666,11,0.594594595
45248,11,0.297619048
79015,11,0.430191631
98107,11,0.535279805
90057,11,0.359359686
17745,11,0.409683426
75010,11,0.627495722
91977,11,0.231920725
8609,11,0.668693009
32811,11,0.472508591
45680,11,0.370869858
87144,11,0.311173975
2453,11,0.33383915
74743,11,0.470286447
28681,11,0.23255814
28463,11,0.56352459
28304,11,0.184470904
18708,11,0.644028103
1862,11,0.789662599
48184,11,0.344827586
38637,11,0.347991142
46319,11,0.348101266
8820,11,0.183700735
81507,11,0.341085271
60455,11,0.403373671
10012,11,0.464135021
95746,11,0.422427035
48324,11,0.464919696
40059,11,0.381944444
48651,11,0.654372397
97068,11,0.462573591
60012,11,0.626780627
29356,11,0.512104283
33412,11,0.407407407
90621,11,0.527831094
19809,11,0.397542465
91214,11,0.324771184
6416,11,0.44017607
80908,11,0.494826811
33016,11,0.361247947
94087,11,0.218124132
11735,11,0.215264188
6820,11,0.416193719
80224,11,0.545905707
11703,11,0.388280974
45215,11,0.255813953
32934,11,0.321543408
61802,11,0.472305711
43004,11,0.636942675
29115,11,0.241386877
30039,11,0.297297297
1082,11,0.511390051
95694,11,1.132852729
2664,11,0.334549878
2896,11,0.724160632
25403,11,0.565552699
33141,11,0.349206349
39213,11,0.282558438
95132,11,0.292087095
33626,11,0.466893039
90006,11,0.307520268
91754,11,0.256829325
1104,11,0.258276591
63118,11,0.443906376
60546,11,0.384749913
97305,11,0.34591195
84651,11,0.594594595
53566,11,0.312145289
70394,11,0.434267667
93109,11,0.526064084
60805,11,0.366056572
49735,11,0.290390707
37924,11,0.73284477
40513,11,0.753941056
54636,11,0.638421358
28139,11,0.237478411
53191,11,1.58045977
49720,11,0.479302832
2655,11,0.80763583
1562,11,0.596529284
84057,11,0.410754294
94024,11,0.28379773
90620,11,0.312411247
95377,11,0.602739726
88130,11,0.365448505
91331,11,0.208175625
92868,11,0.602409639
99508,11,0.245480919
93921,11,0.552208835
94564,11,0.552208835
32735,11,0.856031128
7834,11,0.30666295
85730,11,0.245426149
94117,11,0.417457306
10538,11,0.446791227
11713,11,0.683229814
7506,11,0.356217617
8057,11,0.284752783
23324,11,0.324196876
32801,11,0.650887574
11767,11,0.440352282
33025,11,0.33424491
97062,11,0.602409639
95018,11,0.694883133
55436,11,0.715679896
98028,11,0.449897751
98201,11,0.352225424
88312,11,1.141078838
78703,11,0.437375746
92782,11,0.653206651
91505,11,0.355411955
63114,11,0.255457501
80911,11,0.249943195
85027,11,0.395825837
80220,11,0.348874088
95677,11,0.411676647
67432,11,0.645539906
74354,11,0.264741276
24175,11,0.584795322
60022,11,0.743243243
62966,11,0.333737864
47670,11,0.436854647
92663,11,0.394548063
25901,11,0.437201908
87701,11,0.26072529
73112,11,0.231920725
67010,11,0.417774402
80534,11,0.706486834
20120,11,0.338565713
80003,11,0.412912913
92054,11,0.328456256
80226,11,0.406955235
91786,11,0.341085271
85203,11,0.358773646
63379,11,0.312855518
63052,11,0.420007637
63025,11,0.672782875
98685,11,0.444983819
63126,11,0.431034483
64057,11,0.483516484
65721,11,0.306321359
83202,11,0.364117842
66204,11,0.471092077
64063,11,0.480349345
64504,11,0.498414137
29572,11,0.342572407
94560,11,0.296575896
66610,11,0.5043558
85615,11,0.505282499
95258,11,1.199563795
85607,11,0.656716418
89122,11,0.212683681
92410,11,0.501595987
98230,11,0.343106675
92081,11,0.470487596
68008,11,0.474751834
68632,11,1.153039832
79029,11,0.520586843
99224,11,0.366911274
66012,11,0.695322377
67216,11,0.308815272
8534,11,0.468883205
74029,11,0.818452381
28751,11,0.855365474
97224,11,0.330132053
83864,11,0.301122365
28732,11,0.360183366
64112,11,0.936967632
67117,11,1.743264659
66739,11,0.88638195
28759,11,0.714749838
58075,11,0.757575758
84032,11,0.692695214
53703,11,0.652431791
58203,11,0.64743967
97411,11,0.389656394
55337,11,0.314375536
23453,11,0.303783485
79110,11,0.453234446
48074,11,0.649350649
74434,11,0.589180503
38901,11,0.262717936
32835,11,0.419687142
7757,11,0.824587706
8010,11,0.507614213
7304,11,0.245098039
21750,11,1.057692308
92806,11,0.457380457
92078,11,0.248699977
25526,11,0.299482712
95030,11,0.477430556
33149,11,0.632547441
32433,11,0.371872887
46808,11,0.483941927
44047,11,0.591397849
45244,11,0.3217315
43204,11,0.260972716
95757,11,0.427018634
2915,11,0.417615793
2865,11,0.478677111
22152,11,0.283359093
7901,11,0.370994941
60164,11,0.342039801
90211,11,0.670322974
92843,11,0.280898876
7059,11,0.378527185
49651,11,0.555275114
67901,11,0.475572849
1851,11,0.302696753
32641,11,0.47008547
2743,11,0.468085106
10965,11,0.373895309
32773,11,0.416666667
7522,11,0.588550027
6787,11,0.884244373
6471,11,0.777934936
10510,11,0.672782875
2493,11,0.557809331
1030,11,0.549725137
27539,11,0.533204072
28376,11,0.240332095
24739,11,0.422751729
7436,11,0.523809524
17222,11,0.363156157
55125,11,0.407256572
20905,11,0.347881088
92107,11,0.522565321
1062,11,0.437723836
29340,11,0.281906715
27301,11,1.064859632
29506,11,0.266214908
62568,11,0.309684685
48043,11,0.392716887
49021,11,0.863422292
62837,11,0.444264943
47396,11,0.755494505
46312,11,0.251256281
28320,11,0.554715078
61455,11,0.381547
49930,11,0.93537415
28278,11,0.501595987
50461,11,0.679012346
47725,11,0.400874636
50273,11,0.655151876
61054,11,1.25284738
30742,11,0.717547293
29102,11,0.262592504
38201,11,0.481822164
33982,11,0.491071429
95826,11,0.328260221
6512,11,0.227979275
63445,11,1.09670987
55431,11,0.570835496
34746,11,0.262279447
43311,11,0.30428769
56073,11,0.470890411
60135,11,0.915141431
53948,11,0.567302733
89014,11,0.274656679
87020,11,0.551102204
53551,11,0.822737472
33525,11,0.398550725
1532,11,0.593952484
33179,11,0.369996636
24293,11,0.541605121
28120,11,0.340451872
91042,11,0.332627759
29835,11,0.474956822
29316,11,0.323244196
24211,11,0.480769231
46723,11,1.265822785
29860,11,0.4238921
47111,11,0.423565653
32922,11,0.482879719
1570,11,0.391180654
37015,11,0.466893039
49107,11,0.555836281
11413,11,0.298831839
8611,11,0.424874469
8083,11,0.592034446
38237,11,0.376068376
7823,11,0.510440835
18324,11,0.615901456
71115,11,0.384615385
45701,11,0.391737892
93614,11,0.53217223
98258,11,0.347112654
91506,11,0.511627907
85263,11,0.954861111
91101,11,0.558943089
28174,11,0.984780662
27358,11,0.811808118
48030,11,0.409074005
11553,11,0.37891836
3049,11,0.710135571
95220,11,1.044634378
2339,11,0.424546507
23693,11,0.333333333
93907,11,0.284384695
95222,11,0.862068966
95765,11,0.432220039
38843,11,0.356102298
93301,11,0.522813688
59828,11,0.770847933
84102,11,0.860046912
95129,11,0.348763475
95838,11,0.376068376
95407,11,0.351550016
95815,11,0.509731233
99218,11,0.471293916
91040,11,0.479302832
92131,11,0.369127517
90723,11,0.486295314
92543,11,0.350430073
86005,11,0.682805711
95640,11,0.816629547
89128,11,0.265315967
95988,11,0.542138985
61342,11,0.532429816
90232,11,0.675260896
98848,11,0.642148278
22657,11,0.449530037
47452,11,1.061776062
