Zip Code,Numerator,SSc Rate in Zip Code
28334,11,0.230511316
28052,11,0.214007782
76087,11,0.22675737
23805,11,0.249150623
42301,11,0.125356125
18702,11,0.151223536
30144,11,0.260047281
28625,11,0.172009382
21102,11,0.473321859
20874,11,0.217305413
30240,11,0.236762807
19808,11,0.129808827
7104,11,0.22568732
18964,11,0.388143966
28054,11,0.185309973
77479,11,0.141643059
30701,11,0.191138141
2360,11,0.090542431
60629,11,0.120048019
75165,11,0.187138482
45044,11,0.172036284
75044,11,0.213095699
32257,11,0.194759207
18017,11,0.129350894
7106,11,0.330628194
34243,11,0.152968989
7305,11,0.149741356
43130,11,0.122685702
49221,11,0.146121148
67337,11,0.330827068
30467,11,0.495495495
21286,11,0.231384098
37129,11,0.178803641
30157,11,0.247915258
10013,11,0.37568306
19335,11,0.181998676
30548,11,0.325059102
30102,11,0.269343781
32210,11,0.127123541
38846,11,1.681957187
11218,11,0.160396617
34606,11,0.180802104
23231,11,0.208768267
46385,11,0.15813686
85365,11,0.145176191
11590,11,0.156183445
34668,11,0.175298805
29579,11,0.143117356
32505,11,0.247580464
93727,11,0.173255631
1801,11,0.169465414
29926,11,0.144793998
33881,11,0.196288365
33810,11,0.168970814
65301,11,0.161717142
85142,11,0.252235726
97701,11,0.128956624
33709,11,0.247691961
48045,11,0.268423621
60004,11,0.111381126
33880,11,0.257973734
8505,11,0.392576731
60506,11,0.174437044
32958,11,0.144356955
8873,11,0.111686466
6492,11,0.147532189
89052,11,0.114571399
11355,11,0.165912519
92037,11,0.155323355
11763,11,0.223850224
32713,11,0.281114235
34224,11,0.222581951
33021,11,0.206301575
93446,11,0.129017124
29150,11,0.145502646
33442,11,0.239078461
99336,11,0.126349644
80701,11,0.406955235
52807,11,0.437898089
67114,11,0.249320036
83201,11,0.228500208
70578,11,0.340662744
48327,11,0.337630448
48235,11,0.133803674
3079,11,0.180564675
86004,11,0.219824141
33952,11,0.149904606
33771,11,0.225641026
80113,11,0.440705128
7087,11,0.181308719
8758,11,0.378136817
33884,11,0.189982729
19971,11,0.213054426
7036,11,0.1681186
92630,11,0.22
46902,11,0.129686395
83404,11,0.26980623
43512,11,0.173968053
33156,11,0.296495957
73160,11,0.171821306
85614,11,0.120945574
80123,11,0.235143224
34997,11,0.110308865
80525,11,0.148108254
84790,11,0.134969325
63111,11,0.429184549
38558,11,0.206262891
93901,11,0.231189575
68124,11,0.345260515
11377,11,0.177333548
33844,11,0.252409362
90703,11,0.217649387
48035,11,0.194071983
95338,11,0.308295964
40245,11,0.280827164
38301,11,0.174050633
33710,11,0.227696129
10591,11,0.3077784
7410,11,0.17921147
7006,11,0.223033252
60561,11,0.204803575
48116,11,0.264423077
48446,11,0.199492202
2043,11,0.228975853
1420,11,0.187489347
33322,11,0.210204472
92201,11,0.233595243
96007,11,0.164719976
95503,11,0.198198198
11563,11,0.27541312
11766,11,0.410754294
28601,11,0.128070788
18040,11,0.358072917
7081,11,0.34428795
34238,11,0.139824584
90064,11,0.27770765
32216,11,0.219167165
32244,11,0.158250611
48066,11,0.139895714
22603,11,0.305131761
38117,11,0.212642567
32225,11,0.147730325
3051,11,0.264042247
49686,11,0.225133033
8096,11,0.159374094
24740,11,0.238559965
71254,11,0.858034321
34685,11,0.398262129
46032,11,0.198843095
8648,11,0.217005326
93923,11,0.251084227
11213,11,0.233595243
33037,11,0.329144225
32503,11,0.190048376
60463,11,0.246969017
39046,11,0.253514635
84341,11,0.765483646
34607,11,0.557809331
48317,11,0.311879785
21217,12,0.210231254
43050,12,0.210526316
19152,12,0.229226361
20906,12,0.093786635
77356,12,0.197595916
60639,12,0.162271805
22401,12,0.331858407
77375,12,0.305732484
75062,12,0.279069767
16301,12,0.374531835
47630,12,0.206043956
82601,12,0.263968324
30127,12,0.17838561
85208,12,0.260134403
30705,12,0.203665988
29307,12,0.292611558
75074,12,0.284427589
77096,12,0.268636669
46268,12,0.326619488
16001,12,0.209059233
20744,12,0.130890052
43551,12,0.223297358
75023,12,0.199071002
17601,12,0.1356392
24501,12,0.246254874
47129,12,0.302648172
30736,12,0.179829162
21771,12,0.253914515
39503,12,0.161659706
38654,12,0.153100281
47112,12,0.340522134
32060,12,0.278940028
7017,12,0.254398982
19382,12,0.157170923
11385,12,0.167177487
71106,12,0.18972332
33434,12,0.191846523
33931,12,0.367197062
60126,12,0.160707111
80538,12,0.156168662
34231,12,0.146359312
60148,12,0.141626342
40299,12,0.201005025
29803,12,0.121150934
48843,12,0.208369509
60516,12,0.217667332
10583,12,0.190385531
29229,12,0.226372383
7083,12,0.143403442
8330,12,0.224761191
11731,12,0.21691974
33186,12,0.302267003
38824,12,0.56710775
10065,12,0.227014756
32926,12,0.295057782
90005,12,0.395647873
93710,12,0.328767123
67212,12,0.152691182
88201,12,0.226073851
92270,12,0.20772027
29646,12,0.243457091
46375,12,0.236127509
1960,12,0.104184754
11795,12,0.292326431
8054,12,0.150357098
7675,12,0.232603218
7024,12,0.147456377
8003,12,0.199634004
11215,12,0.227531286
33770,12,0.2968093
11561,12,0.164654226
8736,12,0.388098318
11360,12,0.276752768
97405,12,0.212954747
93420,12,0.161355385
57702,12,0.168491997
81301,12,0.244001627
52404,12,0.207075065
46060,12,0.262927257
80120,12,0.353982301
81006,12,0.546697039
63017,12,0.132435713
83501,12,0.155219247
85338,12,0.27739251
68701,12,0.210637177
70663,12,0.237953599
33062,12,0.216177265
60178,12,0.34562212
27529,12,0.212464589
6516,12,0.158499538
38024,12,0.205796604
8618,12,0.225225225
28791,12,0.281096275
48170,12,0.192246075
8691,12,0.501043841
96003,12,0.101910828
24557,12,0.551470588
34105,12,0.260247235
92708,12,0.172637031
33180,12,0.251203684
38375,12,0.510204082
34109,12,0.189214759
8062,12,0.564705882
46011,12,0.302495589
19131,13,0.207767301
1301,13,0.323544052
20748,13,0.219557507
21220,13,0.181488203
19115,13,0.204338258
76301,13,0.398650721
27587,13,0.19804997
59901,13,0.146165955
11510,13,0.256107171
30043,13,0.216992155
81001,13,0.287292818
70634,13,0.246398787
20735,13,0.217828418
36867,13,0.361613352
75093,13,0.213464696
77057,13,0.340225072
30504,13,0.439634765
33774,13,0.411262259
75703,13,0.175178547
15857,13,0.405363268
30528,13,0.294717751
74133,13,0.188569771
47130,13,0.155837929
47331,13,0.210016155
32137,13,0.115034068
60619,13,0.128205128
8865,13,0.20994832
84041,13,0.339071466
60123,13,0.195459329
32068,13,0.181260457
81004,13,0.323947172
32259,13,0.252623397
75075,13,0.222526532
76028,13,0.179434092
27330,13,0.214663144
71295,13,0.453119554
29063,13,0.282608696
85255,13,0.147108747
47711,13,0.231440271
10475,13,0.240073869
10128,13,0.151833684
6457,13,0.181894501
34476,13,0.187834128
34119,13,0.172048703
44060,13,0.127039969
44122,13,0.189642597
32779,13,0.261938344
33990,13,0.241590782
12603,13,0.159099253
29203,13,0.199233716
2780,13,0.121099208
88011,13,0.227352221
95901,13,0.202397634
65109,13,0.167482608
70560,13,0.175984838
32757,13,0.218011068
60628,13,0.121916909
49203,13,0.178964758
99337,13,0.206381965
89701,13,0.245979186
8318,13,0.519584333
11772,13,0.174216028
89044,13,0.289145907
63116,13,0.293387497
85258,13,0.200215617
83301,13,0.162744116
32935,13,0.195635816
30004,13,0.28659612
33708,13,0.348525469
26554,13,0.168590326
24701,13,0.249376559
88203,13,0.255452938
80134,13,0.27981059
85374,13,0.132883574
63129,13,0.167525773
74344,13,0.29485144
96816,13,0.224137931
85122,13,0.201550388
61265,13,0.158459288
24540,13,0.159724782
60616,13,0.192649674
