Region	City	County	State	Zip Code	Site Name
2	SPARTA TOWNSHIP	SUSSEX	New Jersey	7871	A. O. POLYMER
2	BRIDGEWATER	SOMERSET	New Jersey	8805	AMERICAN CYANAMID CO
2	MILLINGTON	MORRIS	New Jersey	7946	ASBESTOS DUMP
2	SAYREVILLE	MIDDLESEX	New Jersey	8872	ATLANTIC RESOURCES
2	BERKELEY TOWNSHIP	OCEAN	New Jersey	8722	BEACHWOOD/BERKELEY WELLS
2	HOWELL TOWNSHIP	MONMOUTH	New Jersey	7727	BOG CREEK FARM
2	BRICK TOWNSHIP	OCEAN	New Jersey	8723	BRICK TOWNSHIP LANDFILL
2	BRIDGEPORT	GLOUCESTER	New Jersey	8014	BRIDGEPORT RENTAL & OIL SERVICES
2	BOUND BROOK	SOMERSET	New Jersey	8805	BROOK INDUSTRIAL PARK
2	MARLBORO TOWNSHIP	MONMOUTH	New Jersey	7746	BURNT FLY BOG
2	FAIRFIELD	ESSEX	New Jersey	7004	CALDWELL TRUCKING CO.
2	ELIZABETH	UNION	New Jersey	7202	CHEMICAL CONTROL
2	EDISON TOWNSHIP	MIDDLESEX	New Jersey	8817	CHEMICAL INSECTICIDE CORP.
2	BRIDGEPORT	GLOUCESTER	New Jersey	8014	CHEMICAL LEAMAN TANK LINES, INC.
2	PISCATAWAY	MIDDLESEX	New Jersey	8854	CHEMSOL, INC.
2	TOMS RIVER	OCEAN	New Jersey	8753	CIBA-GEIGY CORP.
2	CINNAMINSON TOWNSHIP	BURLINGTON	New Jersey	8077	CINNAMINSON TOWNSHIP (BLOCK 702) GROUND WATER CONTAMINATION
2	MOUNT OLIVE TOWNSHIP	MORRIS	New Jersey	7828	COMBE FILL NORTH LANDFILL
2	CHESTER TOWNSHIP	MORRIS	New Jersey	7930	COMBE FILL SOUTH LANDFILL
2	VOORHEES TOWNSHIP	CAMDEN	New Jersey	8043	COOPER ROAD
2	SOUTH PLAINFIELD	MIDDLESEX	New Jersey	7080	CORNELL DUBILIER ELECTRONICS INC.
2	BEVERLY	BURLINGTON	New Jersey	8010	COSDEN CHEMICAL COATINGS CORP.
2	OLD BRIDGE TOWNSHIP	MIDDLESEX	New Jersey	8857	CPS/MADISON INDUSTRIES
2	ALEXANDRIA TOWNSHIP	HUNTERDON	New Jersey	8848	CROWN VANTAGE LANDFILL
2	SADDLE BROOK TWP	BERGEN	New Jersey	7662	CURCIO SCRAP METAL, INC.
2	MILFORD	HUNTERDON	New Jersey	8848	CURTIS SPECIALTY PAPERS, INC
2	HAMILTON TOWNSHIP	ATLANTIC	New Jersey	8330	D'IMPERIO PROPERTY
2	WHARTON BOROUGH	MORRIS	New Jersey	7885	DAYCO CORP./L.E CARPENTER CO.
2	KINGWOOD TOWNSHIP	HUNTERDON	New Jersey	8825	DE REWAL CHEMICAL CO.
2	EGG HARBOR TOWNSHIP	ATLANTIC	New Jersey	8221	DELILAH ROAD
2	BAYVILLE	OCEAN	New Jersey	8721	DENZER & SCHAFER X-RAY CO.
2	NEWARK	ESSEX	New Jersey	7105	DIAMOND ALKALI CO.
2	KEARNY	HUDSON	New Jersey	7032	DIAMOND HEAD OIL REFINERY DIV.
2	DOVER	MORRIS	New Jersey	7801	DOVER MUNICIPAL WELL 4
2	EVESHAM TOWNSHIP	BURLINGTON	New Jersey	8053	ELLIS PROPERTY
2	GALLOWAY TOWNSHIP	ATLANTIC	New Jersey	8215	EMMELL'S SEPTIC LANDFILL
2	OLD BRIDGE TOWNSHIP	MIDDLESEX	New Jersey	8857	EVOR PHILLIPS LEASING
2	SHAMONG TOWNSHIP	BURLINGTON	New Jersey	8088	EWAN PROPERTY
2	FAIR LAWN	BERGEN	New Jersey	7410	FAIR LAWN WELL FIELD
2	ATLANTIC COUNTY	ATLANTIC	New Jersey	8405	FEDERAL AVIATION ADMINISTRATION TECHNICAL CENTER (USDOT)
2	MANVILLE	SOMERSET	New Jersey	8835	FEDERAL CREOSOTE
2	FLORENCE TOWNSHIP	BURLINGTON	New Jersey	8518	FLORENCE LAND RECONTOURING, INC., LANDFILL
2	VINELAND	CUMBERLAND	New Jersey	8360	FORMER KIL-TONE COMPANY
2	PEMBERTON TOWNSHIP	BURLINGTON	New Jersey	8562	FORT DIX (LANDFILL SITE)
2	FRANKLIN TOWNSHIP	GLOUCESTER	New Jersey	8322	FRANKLIN BURN
2	EAST BRUNSWICK TOWNSHIP	MIDDLESEX	New Jersey	8816	FRIED INDUSTRIES
2	UPPER FREEHOLD TWP	MONMOUTH	New Jersey	8514	FRIEDMAN PROPERTY
2	MINOTOLA	ATLANTIC	New Jersey	8341	GARDEN STATE CLEANERS CO.
2	GARFIELD	BERGEN	New Jersey	7026	GARFIELD GROUND WATER CONTAMINATION
2	GLOUCESTER TOWNSHIP	CAMDEN	New Jersey	8012	GEMS LANDFILL
2	GLEN RIDGE	ESSEX	New Jersey	7028	GLEN RIDGE RADIUM SITE
2	OLD BRIDGE TOWNSHIP	MIDDLESEX	New Jersey	8857	GLOBAL SANITARY LANDFILL
2	PLUMSTEAD TOWNSHIP	OCEAN	New Jersey	8533	GOOSE FARM
2	HOBOKEN	HUDSON	New Jersey	7030	GRAND STREET MERCURY
2	MANTUA TOWNSHIP	GLOUCESTER	New Jersey	8579	HELEN KRAMER LANDFILL
2	GIBBSTOWN	GLOUCESTER	New Jersey	8027	HERCULES, INC. (GIBBSTOWN PLANT)
2	KINGSTON	SOMERSET	New Jersey	8528	HIGGINS DISPOSAL
2	FRANKLIN TOWNSHIP	SOMERSET	New Jersey	8540	HIGGINS FARM
2	PLUMSTEAD TOWNSHIP	OCEAN	New Jersey	8533	HOPKINS FARM
2	SAYREVILLE	MIDDLESEX	New Jersey	8872	HORSESHOE ROAD
2	VINELAND	CUMBERLAND	New Jersey	8360	ICELAND COIN LAUNDRY AREA GW PLUME
2	MORGANVILLE	MONMOUTH	New Jersey	7751	IMPERIAL OIL CO., INC./CHAMPION CHEMICALS
2	WALLINGTON BOROUGH	BERGEN	New Jersey	7057	INDUSTRIAL LATEX CORP.
2	JACKSON TOWNSHIP	OCEAN	New Jersey	8527	JACKSON TOWNSHIP LANDFILL
2	SOUTH BRUNSWICK	MIDDLESEX	New Jersey	8831	JIS LANDFILL
